Term_EN,Term_ES,Definition
Qualified Investment,,"In relation to a WOODFINE PROFESSIONAL CENTRE, one or more contiguous parcels of property..."
WOODFINE PROFESSIONAL CENTRE,,"An institutional quality office building, certified to comply with LEED core and shell, of 3 to 5 storeys..."
WOODFINE RETAIL SELECT BUILDING,,"A combination of one or more institutional quality office buildings, certified to comply with LEED core and shell..."
WOODFINE SUBURBAN OFFICE,,"An institutional quality office building, certified to comply with LEED core and shell, of 6 to 15 storeys..."
WOODFINE TECH INDUSTRIAL BUILDING,,"A combination of one or more industrial/commercial buildings, certified to comply with LEED core and shell..."
Power Centre,,"A large aggregation of retail stores in Canada surrounded and anchored by one or more freestanding large box-store commercial retail tenants..."
Advisory Fee,Advisory Fee,
Activist Investing,keep,
Alignment of Principles,,
Allocation(s),,
Alternative Investment(s),,
Annual Information Form,,
Appraisals,,
Archetype — Explorer (Soul),,
Archetype — Innocent (Ego),,
Archetype — Magician (Self),,
Archetype — Orphan (Ego),,
Archetype — Rebel (Soul),,
Archetype — Sage (Self),,
Archetypes,,
Architectural Design Booklet,,
"Architecture, Engineering and Construction (AEC) Community",,
Asset Class(es),,
Asset Management,,
Asset Management Fees,,
Asset Manager(s),Gestores de Activos,
Assets Under Management,,
Audit Committee,,
Auditors,,
British Columbia Securities Commission (BCSC),,
Board of Directors,,
Bureaucracy or Administrative Economy,,
Capital Markets Directives,,
Cash Equivalents,,
Cash Flow,,
Cash-on Cash Return,,
Collective Consciousness,,
Commercial Bankers,,
Commercial Mortgage-Backed Securities (CMBS),,
Commodities,,
Compensation Committee,,
Compound Growth Rates,,
Construction Trades,,
Contribution to Overhead,,
Contributors,,
Control Editor,,
Corporate Biography,,
Corporate Brochure,,
Corporate Secretary,,
Corporate Structure,Estructura Corporativa,
Corporate Wiki,,
Corporate Wiki Glossary,,
Cost to Complete,,
Cost-Plus,Cost-Plus,
Costing Email,,
Creative Designer,,
Credit Products,,
Daisy Chain,Daisy Chain,
Data Marketplace,,
Debt to Asset,Deuda a activos,
Department Store,,
Developer,Desarrollador,
Development Classes,Clases De Desarrollo,
Development Costs,,100% de los Costos de Desarrollo
Development Markets,Mercados en Desarrollo,
Development Sites,SITIOS DE DESARROLLO,
Didactic Method,,
Digital Transformation,,
Direct-Hold Solutions,Direct-Hold Solutions,
Distributable Income,Ingresos Distribuibles,
Distributed Economy,,
Distribution Requirements,,
Distribution Yield,,
Distributions or Dividends,Distribuciones,
Club Deal,,
Earnings,,
Efficient Frontier,,
"Electronic Data Gathering, Analysis, and Retrieval or EDGAR",,
Electronic Filing System,,
"Environmental, Social, Governance (ESG)","Environmental, Social, Governance (ESG)",
Esoteric,,
Exchange Trade Funds or ETFs,,
Executive Officer,Oficial Ejecutivo,
Executive Summary,,
Exit Strategy,,
Final Sale,,
Financial Community,Comunidad Financiera,
Financial Forecast,Pronóstico Financiero,
Financial Model,Modelo Financiero,
Financial Officer,,
Financial Statements,,
First Engagement,,
First Secured Debenture,,
First Secured Mortgage Debentures,First Secured Mortgage Debentures,Deuda Privada Hipotecaria
Food Provider,,
Freely Transferrable,Libre Transferencia,
General Partner (GP),General Partner,
General Staff,,
Geometry of Sustainability,Geometry of Sustainability,
Governance Committee,,
Gross Funded Value or GFV,Gross Funded Value,
Growth Strategy,,
Hardware Store,,
Hedge Funds,,
Higher Education,,
Hybrid Management Style,,
Initial Period,,
Institutional Investors,,
Internal Rate of Returns,,
Investment Bankers,,
Investment Banking,,
Investment Funds,,
Investment Products,,
Investment vehicle,,
Investment Professionals,Profesionales de Inversión,
Investment Strategy,Estrategia de Inversión,
Investment Units,Unidades de Inversión,
Investor,Inversionistas,
Investor Relations,,
ISIN/CUSIP,ISIN/CUSIP,
Issue Cost,Issue Costs,
Legacy Joint Venture,Empresa Conjunta Preexistente,
Jurisdictional Fracture,Fractura Jurisdiccional,
Key Note Slides,,
Leasing Fees,,
Limited partnership,,
Limited Partnership Agreement,Universal Governing Bylaws,
Listed Equity,,
Loans and Mortgages,,
Local Administration,,
Long-term Savers,Multi-Generational Capital,
LP,LP,
LP Units,Investment Units,
Management Board,,
Management Carry,,
Management Discussion and Analysis,,
Management Phase,,
Management Fee,,
Market Makers,,
Market Value,Market Value,
Marketing Directory,,
Marketing Material,,
Marketing Period,,
Material Change Event,,
Media Releases,,
MediaWiki,,
Medical Centers,,
Merchant Developer,,
Metro Markets,Mercados Metropolitanos,
Multi-Generational Capital,,
Mutual Fund Theorem,,
National Pricing,Precios Nacionales,
National Retailers,Minoristas Nacionales,
National Tenants,,
Net Asset Value or NAV,Net Asset Value,
Net Leasable,,
Newsroom,,
Offering Costs,,
Offering Document — Exceptions,,
Offering Document — Prospectus,,
Office Tenants,Inquilinos de Oficina,
Ongoing Reporting Requirements,Requisitos de Informes Continuos,
Operating Costs,Gastos Operativos,
Operating Expenses,,
Operating Officer,,
Parent Company,Compañía Matriz,
Parking Ratios,Ratios de Estacionamiento,
Parking Structures,Parking Structures,
Partnership Oversight Committee,,
Pension Funds,,
Perpetual Equity,,
Personnel Biography,,
PointSav Media Kit API,,
Political Economy,,
Portfolio,,
Portfolio Theory,,
Power Centre,Power Centre,
Print Material,,
Private Credit,,
Private Equity,Capital Privado,
Private Market,Mercado Privado,
Production Curve,,
Professional Centres,Professional Centres,
